Date,WL
2020-11-22,9.930568182
2020-11-23,9.937954545
2020-11-24,9.852954545
2020-11-25,10.30681818
2020-11-26,10.68
2020-11-27,10.96943182
2020-11-28,11.07454545
2020-11-29,11.15579545
2020-11-30,11.18625
2020-12-01,11.13886364
2020-12-02,11.09102273
2020-12-03,10.84806818
2020-12-04,10.88170455
2020-12-05,10.78465909
2020-12-06,10.82147727
2020-12-07,10.70295455
2020-12-08,11.05761364
2020-12-09,11.05352273
2020-12-10,10.99125
2020-12-11,10.93386364
2020-12-12,11.23772727
2020-12-13,11.32375
2020-12-14,11.34
2020-12-15,11.53284091
2020-12-16,11.81147727
2020-12-17,12.14590909
2020-12-18,12.36045455
2020-12-19,12.49306818
2020-12-20,12.65488636
2020-12-21,12.55272727
2020-12-22,12.73295455
2020-12-23,12.79477273
2020-12-24,13.01784091
2020-12-25,12.77818182
2020-12-26,12.92409091
2020-12-27,13.45772727
2020-12-28,14.29125
2020-12-29,15.25897727
2020-12-30,16.29386364
2020-12-31,16.81761364
2021-01-01,17.50045455
2021-01-02,18.03977273
2021-01-03,18.62590909
2021-01-04,18.96511364
2021-01-05,19.12045455
2021-01-06,19.21681818
2021-01-07,19.19193182
2021-01-08,19.01795455
2021-01-09,18.63840909
2021-01-10,18.22806818
2021-01-11,17.65886364
2021-01-12,17.02204545
2021-01-13,16.06170455
2021-01-14,15.40693182
2021-01-15,15.30875
2021-01-16,14.79352273
2021-01-17,13.95272727
2021-01-18,13.33284091
2021-01-19,12.78727273
2021-01-20,12.26090909
2021-01-21,12.01227273
2021-01-22,11.73625
2021-01-23,11.88727273
2021-01-24,11.70931818
2021-01-25,11.89659091
2021-01-26,12.39181818
2021-01-27,13.07897727
2021-01-28,14
2021-01-29,15.10613636
2021-01-30,15.69681818
2021-01-31,16.14431818
2021-02-01,16.62363636
2021-02-02,16.81602273
2021-02-03,17.07170455
2021-02-04,17.73454545
2021-02-05,17.81147727
2021-02-06,17.66420455
2021-02-07,17.26454545
2021-02-08,16.74715909
2021-02-09,16.19397727
2021-02-10,16.21022727
2021-02-11,16.07056818
2021-02-12,15.71715909
2021-02-13,15.35306818
2021-02-14,15.15511364
2021-02-15,15.00545455
2021-02-16,14.97738636
2021-02-17,15.00272727
2021-02-18,15.20045455
2021-02-19,15.46375
2021-02-20,15.62738636
2021-02-21,15.94590909
2021-02-22,16.55681818
2021-02-23,17.35454545
2021-02-24,18.30181818
2021-02-25,19.32261364
2021-02-26,20.36113636
2021-02-27,21.36704545
2021-02-28,22.13431818
2021-03-01,22.73261364
2021-03-02,23.37988636
2021-03-03,23.74738636
2021-03-04,24.01375
2021-03-05,24.17795455
2021-03-06,24.42102273
2021-03-07,24.70477273
2021-03-08,24.91477273
2021-03-09,25.05431818
2021-03-10,25.4625
2021-03-11,25.53715909
2021-03-12,25.76534091
2021-03-13,26.015
2021-03-14,26.22988636
2021-03-15,26.49556818
2021-03-16,27.17738636
2021-03-17,27.22772727
2021-03-18,27.33102273
2021-03-19,27.25125
2021-03-20,27.39045455
2021-03-21,27.44011364
2021-03-22,27.53465909
2021-03-23,27.67943182
2021-03-24,27.98681818
2021-03-25,28.32659091
2021-03-26,28.44443182
2021-03-27,28.54761364
2021-03-28,28.48704545
2021-03-29,28.5825
2021-03-30,28.40079545
2021-03-31,28.59670455
2021-04-01,28.55693182
2021-04-02,28.67568182
2021-04-03,28.82875
2021-04-04,28.69863636
2021-04-05,28.50147727
2021-04-06,28.685
2021-04-07,28.63136364
2021-04-08,28.59659091
2021-04-09,28.46022727
2021-04-10,28.14818182
2021-04-11,27.71681818
2021-04-12,27.32159091
2021-04-13,26.99681818
2021-04-14,26.72102273
2021-04-15,26.32556818
2021-04-16,26.15318182
2021-04-17,26.02522727
2021-04-18,25.70977273
2021-04-19,25.15522727
2021-04-20,24.55693182
2021-04-21,23.91534091
2021-04-22,23.2275
2021-04-23,22.71534091
2021-04-24,22.35397727
2021-04-25,21.95261364
2021-04-26,21.86420455
2021-04-27,21.99215909
2021-04-28,22.04034091
2021-04-29,22.21806818
2021-04-30,22.24602273
2021-05-01,22.28670455
2021-05-02,22.47818182
2021-05-03,22.60625
2021-05-04,22.81579545
2021-05-05,23.03193182
2021-05-06,23.07647727
2021-05-07,23.10806818
2021-05-08,23.17193182
2021-05-09,23.29511364
2021-05-10,23.66329545
2021-05-11,23.52931818
2021-05-12,23.52125
2021-05-13,23.83670455
2021-05-14,23.48772727
2021-05-15,22.95829545
2021-05-16,22.46875
2021-05-17,22.06909091
2021-05-18,21.79568182
2021-05-19,21.59147727
2021-05-20,21.53988636
2021-05-21,21.48454545
2021-05-22,21.42840909
2021-05-23,21.29113636
2021-05-24,21.06681818
2021-05-25,20.82954545
2021-05-26,20.74875
2021-05-27,20.59795455
2021-05-28,20.41340909
2021-05-29,20.26568182
2021-05-30,20.30363636
2021-05-31,19.95261364
2021-06-01,19.81193182
2021-06-02,19.73477273
2021-06-03,19.71068182
2021-06-04,19.71363636
2021-06-05,19.83409091
2021-06-06,20.00977273
2021-06-07,20.10738636
2021-06-08,20.11738636
2021-06-09,20.05875
2021-06-10,20.03602273
2021-06-11,20.26556818
2021-06-12,19.79863636
2021-06-13,19.64204545
2021-06-14,19.53079545
2021-06-15,19.40204545
2021-06-16,19.11511364
2021-06-17,18.73784091
2021-06-18,18.31284091
2021-06-19,17.89534091
2021-06-20,17.41397727
2021-06-21,16.77579545
2021-06-22,16.1725
2021-06-23,15.64693182
2021-06-24,15.14159091
2021-06-25,14.69443182
2021-06-26,14.49295455
2021-06-27,14.64704545
2021-06-28,15.24818182
2021-06-29,16.00875
2021-06-30,16.81965909
2021-07-01,17.50159091
2021-07-02,18.15352273
2021-07-03,18.69943182
2021-07-04,19.29284091
2021-07-05,19.56613636
2021-07-06,19.65045455
2021-07-07,19.31625
2021-07-08,18.66022727
2021-07-09,17.905
2021-07-10,17.10102273
2021-07-11,16.37056818
2021-07-12,15.97034091
2021-07-13,15.90840909
2021-07-14,15.90556818
2021-07-15,16.08113636
2021-07-16,16.28056818
2021-07-17,16.61715909
2021-07-18,16.83511364
2021-07-19,17.06920455
2021-07-20,17.2425
2021-07-21,17.14
2021-07-22,16.74795455
2021-07-23,16.14056818
2021-07-24,15.42454545
2021-07-25,14.57863636
2021-07-26,13.49920455
2021-07-27,12.34522727
2021-07-28,11.19238636
2021-07-29,10.41920455
2021-07-30,9.684886364
2021-07-31,9.161022727
2021-08-01,8.639204545
2021-08-02,8.340795455
2021-08-03,8.213409091
2021-08-04,8.140227273
2021-08-05,8.041022727
2021-08-06,7.812386364
2021-08-07,7.825340909
2021-08-08,8.482159091
2021-08-09,7.697045455
2021-08-10,7.454431818
2021-08-11,7.455454545
2021-08-12,7.367272727
2021-08-13,7.288295455
2021-08-14,7.396136364
2021-08-15,7.52
2021-08-16,7.705909091
2021-08-17,7.918522727
2021-08-18,7.993295455
2021-08-19,8.449318182
2021-08-20,8.587954545
2021-08-21,10.33534091
2021-08-22,11.01977273
2021-08-23,8.998863636
2021-08-24,8.260227273
2021-08-25,7.933181818
2021-08-26,7.5875
2021-08-27,7.330340909
2021-08-28,7.117386364
2021-08-29,6.81625
2021-08-30,6.679431818
2021-08-31,6.813295455
2021-09-01,7.014204545
2021-09-02,7.4775
2021-09-03,7.980568182
2021-09-04,8.496704545
2021-09-05,8.882272727
2021-09-06,9.342840909
2021-09-07,9.733068182
2021-09-08,9.5525
2021-09-09,9.0175
2021-09-10,8.156818182
2021-09-11,7.421818182
2021-09-12,7.048465909
2021-09-13,6.802954545
2021-09-14,6.602272727
2021-09-15,6.712159091
2021-09-16,6.515
2021-09-17,6.339090909
2021-09-18,6.343409091
2021-09-19,6.401818182
2021-09-20,6.639772727
2021-09-21,6.950909091
2021-09-22,6.946590909
2021-09-23,7.089318182
2021-09-24,7.429545455
2021-09-25,7.565568182
2021-09-26,7.6875
2021-09-27,7.688522727
2021-09-28,7.454659091
2021-09-29,7.028409091
2021-09-30,6.639886364
2021-10-01,6.449318182
2021-10-02,6.227954545
2021-10-03,6.260795455
2021-10-04,6.159431818
2021-10-05,6.065681818
2021-10-06,6.282840909
2021-10-07,6.382386364
2021-10-08,6.407954545
2021-10-09,7.0975
2021-10-10,7.230227273
2021-10-11,7.360681818
2021-10-12,7.854090909
2021-10-13,7.768522727
2021-10-14,7.501477273
2021-10-15,7.315340909
2021-10-16,7.327840909
2021-10-17,7.214772727
2021-10-18,6.917954545
2021-10-19,6.83625
2021-10-20,6.776477273
2021-10-21,5.526136364
2021-10-22,5.594090909
2021-10-23,5.896136364
2021-10-24,6
2021-10-25,6.586590909
2021-10-26,6.99875
2021-10-27,7.248068182
2021-10-28,7.627954545
2021-10-29,8.111590909
2021-10-30,8.562840909
2021-10-31,9.135340909
2021-11-01,9.410227273
2021-11-02,9.259431818
2021-11-03,8.962727273
2021-11-04,8.569659091
2021-11-05,8.133977273
2021-11-06,7.870454545
2021-11-07,7.617272727
2021-11-08,7.462613636
2021-11-09,7.020113636
2021-11-10,6.706363636
2021-11-11,6.4875
2021-11-12,6.676022727
2021-11-13,6.507272727
2021-11-14,6.613977273
2021-11-15,6.756477273
2021-11-16,6.820113636
2021-11-17,6.817159091
2021-11-18,6.827954545
2021-11-19,6.82375
2021-11-20,6.799318182
2021-11-21,6.906363636
2021-11-22,6.913068182
2021-11-23,7.01375
2021-11-24,7.091704545
2021-11-25,7.094204545
2021-11-26,7.286931818
2021-11-27,7.035681818
2021-11-28,6.849318182
2021-11-29,6.292613636
2021-11-30,6.080113636
2021-12-01,5.895340909
2021-12-02,5.796477273
2021-12-03,5.685568182
2021-12-04,6.161477273
2021-12-05,6.972840909
2021-12-06,7.573863636
2021-12-07,8.433068182
2021-12-08,9.058295455
2021-12-09,9.517727273
2021-12-10,10.10659091
2021-12-11,10.63784091
2021-12-12,11.07613636
2021-12-13,11.29693182
2021-12-14,11.61863636
2021-12-15,11.80443182
2021-12-16,11.80795455
2021-12-17,11.83340909
2021-12-18,11.90477273
2021-12-19,11.75818182
2021-12-20,11.44681818
2021-12-21,11.35568182
2021-12-22,11.34170455
2021-12-23,10.89909091
2021-12-24,10.83159091
2021-12-25,10.80090909
2021-12-26,10.96965909
2021-12-27,11.37
2021-12-28,11.96034091
2021-12-29,12.75193182
2021-12-30,13.95102273
2021-12-31,15.05420455
2022-01-01,15.6825
2022-01-02,16.38920455
2022-01-03,16.9225
2022-01-04,17.49034091
2022-01-05,17.80681818
2022-01-06,18.0725
2022-01-07,18.30431818
2022-01-08,18.53318182
2022-01-09,18.81193182
2022-01-10,19.35522727
2022-01-11,19.57511364
2022-01-12,19.68852273
2022-01-13,19.78670455
2022-01-14,19.84397727
2022-01-15,19.54840909
2022-01-16,19.05852273
2022-01-17,18.29306818
2022-01-18,17.58931818
2022-01-19,16.89568182
2022-01-20,16.24886364
2022-01-21,15.8825
2022-01-22,15.39477273
2022-01-23,14.62965909
2022-01-24,14.19772727
2022-01-25,13.73647727
2022-01-26,13.15704545
2022-01-27,12.78227273
2022-01-28,12.24352273
2022-01-29,12.03715909
2022-01-30,11.81090909
2022-01-31,11.77806818
2022-02-01,12.17431818
2022-02-02,12.93227273
2022-02-03,13.80329545
2022-02-04,14.81284091
2022-02-05,15.68306818
2022-02-06,16.64443182
2022-02-07,17.18125
2022-02-08,17.62909091
2022-02-09,17.68272727
2022-02-10,17.64738636
2022-02-11,17.56318182
2022-02-12,17.43659091
2022-02-13,17.52545455
2022-02-14,17.96931818
2022-02-15,18.77227273
2022-02-16,19.68420455
2022-02-17,20.61386364
2022-02-18,21.62568182
2022-02-19,22.16818182
2022-02-20,22.68363636
2022-02-21,23.03352273
2022-02-22,23.27113636
2022-02-23,23.62022727
2022-02-24,23.82227273
2022-02-25,24.00693182
2022-02-26,24.31965909
2022-02-27,24.54329545
2022-02-28,24.82647727
2022-03-01,24.95818182
2022-03-02,25.13613636
2022-03-03,25.18886364
2022-03-04,25.51125
2022-03-05,25.69545455
2022-03-06,25.70488636
2022-03-07,25.75693182
2022-03-08,25.84159091
2022-03-09,25.83284091
2022-03-10,25.74920455
2022-03-11,25.77897727
2022-03-12,26.00284091
2022-03-13,25.94818182
2022-03-14,25.88602273
2022-03-15,25.68602273
2022-03-16,25.57920455
2022-03-17,25.61659091
2022-03-18,25.48011364
2022-03-19,25.34806818
2022-03-20,25.49465909
2022-03-21,25.30852273
2022-03-22,25.10568182
2022-03-23,24.93397727
2022-03-24,24.71409091
2022-03-25,24.63954545
2022-03-26,24.59909091
2022-03-27,24.51238636
2022-03-28,24.30818182
2022-03-29,24.09511364
2022-03-30,23.73454545
2022-03-31,23.62272727
2022-04-01,23.48056818
2022-04-02,23.31102273
2022-04-03,23.22897727
2022-04-04,22.91977273
2022-04-05,22.57386364
2022-04-06,22.43284091
2022-04-07,22.42443182
2022-04-08,22.49670455
2022-04-09,22.67272727
2022-04-10,22.87238636
2022-04-11,23.11681818
2022-04-12,23.29125
2022-04-13,23.56534091
2022-04-14,23.88204545
2022-04-15,24.05204545
2022-04-16,24.235
2022-04-17,24.29272727
2022-04-18,24.32784091
2022-04-19,24.45590909
2022-04-20,24.40954545
2022-04-21,24.36772727
2022-04-22,24.24659091
2022-04-23,24.05511364
2022-04-24,23.66034091
2022-04-25,23.38227273
2022-04-26,22.99454545
2022-04-27,22.62681818
2022-04-28,22.32295455
2022-04-29,22.24340909
2022-04-30,22.18534091
2022-05-01,22.14397727
2022-05-02,22.18784091
2022-05-03,22.29761364
2022-05-04,22.3925
2022-05-05,22.48113636
2022-05-06,22.63306818
2022-05-07,22.76159091
2022-05-08,22.87090909
2022-05-09,22.91988636
2022-05-10,23.11375
2022-05-11,23.26715909
2022-05-12,23.50397727
2022-05-13,23.36840909
